interest_rate,unemployment_rate,inflation_rate,gdp_growth_rate,labor_force_participation_rate,consumer_confidence_index,government_debt_to_gdp_ratio,exchange_rate,stock_market_index,housing_price_index,manufacturing_pmi,services_pmi,retail_sales_growth_rate,business_confidence_index,wage_growth_rate,exports_volume,imports_volume,government_revenue,government_spending,business_startups_rate,consumer_spending,investment_rate,savings_rate,tax_revenue,interest_coverage_ratio,bankruptcies_rate,business_closures_rate,consumer_debt_to_income_ratio,government_deficit_to_gdp_ratio
7.62,19.41,4.71,-3.79,52.25,44.37,136.97,1.9113,46089.86,297.31,93.22,48.03,-12.19,28.28,2.21,669896,740909,915020429,809185698,32.17,606412.99,38.19,29.01,86571669,62.49,1.14,9.78,44.48,1.29
5.44,0.5,-4.16,4.34,59.91,83.05,149.26,1.556,33557.27,459.78,69.39,51.4,9.36,59.05,2.1,695361,432078,623838772,858247926,99.17,336316.98,74.68,13.01,63888605,62.47,5.83,6.4,218.63,4.54
0.4,17.55,0.01,8.01,16.17,196.72,118.02,0.9855,21146.06,320.61,53.94,71.86,15.55,192.25,3.48,746764,893745,524388708,772049480,17.19,58509.69,82.36,38.47,8923830,92.7,9.97,7.87,384.83,7.41
2.94,12.16,3.53,-0.38,99.05,125.34,116.0,2.2345,40892.19,383.38,68.06,77.37,14.36,41.44,5.7,992779,984470,209962490,409972738,24.18,168246.27,61.87,17.37,78156089,21.7,5.97,6.68,433.33,3.93
4.08,7.52,-1.25,-5.22,14.55,175.6,184.09,1.9013,43403.02,332.69,73.78,16.06,-19.01,14.65,8.27,333503,630430,609253612,721978854,37.14,640162.54,17.89,99.15,53375240,28.18,7.12,7.75,131.14,1.13
6.29,16.58,3.79,-8.3,6.04,191.41,0.15,2.0301,34866.7,52.28,78.86,41.19,15.87,77.66,3.47,73614,445974,611807707,620091640,14.06,30163.42,62.42,81.72,66810757,72.41,1.51,5.06,296.34,2.53
5.16,10.44,3.63,6.46,0.82,26.05,44.88,0.9125,5381.59,465.63,90.76,5.23,-12.27,57.97,8.36,876843,140978,949357657,591344053,25.81,110446.47,60.75,77.74,24289184,5.39,1.59,1.41,480.74,6.54
5.71,5.57,1.3,5.28,87.73,195.15,32.04,0.0578,40398.26,343.56,90.54,15.59,-7.68,4.21,5.38,720971,243368,467685816,504459046,44.45,509561.21,91.44,59.6,67713668,91.76,2.46,9.97,59.3,1.14
4.69,4.56,2.36,-6.24,97.7,23.73,64.08,1.2087,31644.97,272.62,75.91,70.53,4.92,47.02,6.56,315156,323587,993425565,10657910,6.34,306931.44,24.08,26.54,1594827,44.61,9.83,4.45,463.76,8.08
5.51,1.55,3.9,-1.12,26.58,90.84,85.05,0.923,45448.93,281.05,94.04,96.44,9.11,158.64,5.65,706867,239781,822572880,83424719,74.65,117661.59,91.62,70.13,56954751,30.74,4.46,7.92,368.51,0.91
3.59,14.45,0.3,0.34,74.61,84.42,74.04,0.7116,19845.42,138.84,92.56,27.89,-0.84,95.87,3.7,373311,972764,66343426,612966069,83.85,923699.77,13.83,91.74,21428705,6.12,3.61,6.53,319.48,7.76
5.73,19.95,2.48,-1.76,52.84,84.41,192.58,1.5294,29244.12,170.52,72.16,61.34,-0.83,196.16,0.4,575545,533090,136554281,668247049,98.49,443043.5,72.77,38.38,1794819,76.97,1.85,5.66,83.54,4.09
1.71,1.86,3.46,-4.28,22.24,113.76,119.66,1.1577,5205.68,461.75,41.46,33.29,-16.26,140.31,4.07,524201,848699,898221472,336479444,46.28,962138.88,78.22,28.01,88936651,53.68,1.89,6.08,71.85,9.3
8.31,8.68,0.38,-8.86,8.37,95.39,4.3,2.9676,42764.18,141.84,2.94,23.07,16.5,69.52,0.36,174993,754772,880457946,617800366,8.76,327561.52,18.14,34.25,11366503,84.2,3.72,8.16,327.15,6.41
4.45,5.77,-0.95,1.01,61.12,188.04,98.35,0.8569,14988.96,210.37,3.71,32.39,8.56,110.34,5.48,381175,784780,27079739,339871317,79.41,833877.32,4.49,49.93,4985186,33.09,6.2,1.72,433.82,3.11
0.25,18.66,-1.83,-2.84,93.96,5.54,112.41,0.5116,24601.85,202.1,65.53,99.54,6.85,118.34,5.0,748277,792439,481860388,811065366,74.61,9499.95,16.2,28.95,53911972,89.25,3.13,6.38,250.27,6.72
5.15,10.49,1.49,9.87,18.93,50.54,46.11,1.9702,38964.46,361.08,17.12,89.3,-3.77,86.37,1.48,380905,378615,241874579,353210643,82.72,485239.77,12.77,50.57,59945495,15.21,3.32,5.6,69.64,9.66
3.16,16.02,-4.98,-5.38,51.92,149.44,69.88,2.136,25164.69,81.53,72.56,19.71,-6.97,78.42,4.43,959436,455449,567154418,326107448,62.0,724876.84,65.82,98.05,28445007,78.38,4.86,5.89,302.6,7.05
0.42,10.75,1.08,-8.99,85.2,54.16,50.73,2.1694,7791.92,301.48,69.8,19.65,-10.08,65.74,8.78,833521,817057,280590012,873202971,31.8,187156.63,0.41,82.58,52682528,16.0,7.26,1.24,175.36,2.26
1.31,18.53,-0.32,4.06,65.02,68.45,58.18,2.5386,14231.98,239.46,47.56,49.63,-17.96,122.75,5.64,225422,55896,960430072,977122986,89.51,394959.14,60.98,38.62,34488328,26.72,4.5,7.61,453.82,0.42
7.77,2.14,1.98,-7.16,48.0,171.62,62.4,2.8606,46134.83,315.61,49.48,9.18,-19.23,134.62,7.06,124385,450697,728071919,945455746,53.57,644878.17,31.32,56.13,96969107,9.67,9.26,8.13,487.55,1.4
5.71,16.5,-2.61,-9.47,80.86,84.32,170.59,0.2264,18738.19,400.67,62.33,60.6,1.64,132.79,5.82,509146,239458,133980647,416184964,22.04,577997.85,40.97,14.49,15740091,30.15,5.45,4.0,406.98,4.32
0.62,2.92,-4.41,3.33,6.41,140.98,32.87,1.7737,30174.03,373.46,35.48,51.53,3.75,115.49,1.05,57080,733951,290068458,606643036,36.77,294608.72,13.67,46.0,25657599,74.84,6.52,2.19,285.39,0.42
3.58,8.49,1.27,-0.97,94.91,70.89,38.1,2.5031,35033.61,170.21,86.8,30.03,-2.24,123.41,9.84,897374,728961,677740530,214175194,50.66,393161.03,66.04,67.61,31014509,12.9,0.13,5.73,467.53,2.73
9.16,17.91,2.79,-1.61,92.88,145.02,108.26,0.0238,2550.98,100.46,47.4,73.16,-6.49,64.08,6.63,150464,590492,640762245,642852744,93.35,831625.54,10.49,36.97,32497282,33.16,2.75,8.79,76.36,8.71
9.19,3.71,2.45,5.67,13.24,195.82,185.83,0.7051,20507.41,171.29,22.06,85.96,-12.35,157.16,7.43,666959,277486,795679880,502385488,5.34,140421.35,78.57,25.91,9113837,46.93,0.19,2.84,83.01,4.66
5.66,16.86,-4.07,7.62,71.69,77.31,84.27,0.999,32852.84,91.39,1.95,42.63,-17.0,70.14,1.15,941727,857206,911156550,863809155,24.45,265114.82,54.79,15.46,26093434,41.92,5.57,3.48,433.26,6.13
0.83,6.93,0.07,4.31,76.17,126.64,13.53,2.6777,26344.58,341.88,89.72,76.69,-15.96,26.25,7.61,229700,497775,286163431,140527633,38.0,147431.33,87.9,11.11,27618132,36.46,9.76,8.3,33.97,9.17
1.67,13.21,-1.14,7.51,88.58,155.45,96.85,1.1613,35144.08,115.9,22.58,93.49,-16.7,178.61,0.95,973709,406774,946505533,433499421,59.18,628454.28,8.26,36.74,43888031,0.88,3.99,9.19,200.4,6.65
4.22,5.59,-4.46,4.57,97.9,153.22,91.79,0.2917,38930.43,250.21,47.17,0.68,4.4,89.14,8.7,280089,274579,102556148,112596621,61.6,705259.47,39.77,55.42,5421455,48.33,8.91,6.13,192.53,2.64
8.61,11.68,2.7,-0.99,44.27,144.36,52.71,1.5201,38639.05,160.4,5.77,48.08,19.63,33.12,4.26,418925,782284,95100538,632781172,48.56,400286.97,16.94,67.92,31908478,87.74,4.31,9.04,81.05,9.98
4.6,1.17,0.73,9.18,97.4,164.81,11.98,2.5748,3866.52,217.98,86.54,57.56,4.03,158.12,3.52,314467,27793,212799365,887773027,63.17,464956.36,2.55,72.88,80482485,92.65,6.65,4.44,155.89,6.95
6.05,4.8,2.79,0.98,74.56,117.92,66.2,1.987,14994.79,380.31,1.59,37.84,4.39,102.59,1.66,295346,846396,641912947,911288152,3.47,178816.91,76.74,50.24,16118431,33.69,8.31,7.62,261.16,4.15
1.59,11.2,4.3,0.94,32.1,105.24,81.04,1.9394,24702.16,311.13,30.6,32.85,-0.88,23.13,9.91,823629,480677,151912183,93142310,98.63,573631.54,72.98,74.86,11058293,7.98,0.82,8.17,159.13,8.79
3.11,13.18,-0.48,-0.13,16.01,36.6,73.61,0.5558,18595.55,359.03,36.39,58.08,5.4,65.57,7.22,779243,405236,883365301,767269429,53.9,994374.15,31.26,71.84,17324811,77.61,8.97,4.43,141.3,4.76
3.04,11.91,0.87,-9.55,44.38,143.15,168.67,1.7092,6856.34,123.6,10.01,65.34,-0.89,96.31,3.18,909196,901900,972923061,622630296,67.64,317685.93,24.68,24.92,30200972,21.5,6.66,8.78,47.95,3.48
0.59,6.85,-3.29,-4.71,1.53,140.71,182.92,1.9538,17133.23,266.94,80.86,54.47,11.61,58.02,1.86,188665,624783,40712793,282100148,56.31,813773.24,55.6,47.82,48945029,7.68,2.87,9.26,477.34,8.62
4.8,8.99,-2.31,4.98,57.15,70.82,11.37,0.5348,37780.42,383.17,19.0,60.31,16.51,72.04,2.29,368020,253508,143388172,51160376,46.94,393931.32,47.2,80.82,14666578,96.58,8.88,0.89,11.68,7.2
5.89,8.13,-1.65,8.81,97.69,118.2,6.28,0.261,11404.12,337.0,50.81,72.54,1.19,192.59,3.65,256268,499816,78148478,33876728,51.37,310730.13,8.59,34.53,4816436,35.21,4.06,5.48,323.93,4.14
8.9,12.72,-4.02,-4.06,7.23,34.24,174.98,1.3785,24900.38,231.78,30.2,79.55,4.42,36.06,0.94,37384,755930,483737825,100424395,92.57,7547.97,57.69,35.29,27345973,46.41,6.97,7.38,280.15,9.41
5.15,8.93,-0.85,-5.79,25.87,16.04,110.29,0.8817,38475.48,394.34,72.19,43.01,-2.99,92.74,4.87,717761,250099,103604047,982504101,66.27,528570.04,61.88,18.15,14160318,57.6,1.25,2.79,295.49,3.82
4.84,18.93,-4.68,4.45,19.37,154.45,189.91,2.1484,33262.32,310.81,59.43,71.73,-2.93,37.31,8.99,822992,126070,448077031,371303984,75.27,391391.02,93.04,83.06,48823081,2.99,2.08,0.8,141.38,9.09
7.85,19.02,2.32,5.25,1.75,9.5,35.36,2.046,42258.29,70.12,57.75,40.44,6.57,33.1,7.03,363797,721246,292262237,492808553,30.9,319640.41,54.13,10.07,25361641,81.9,6.92,0.54,410.37,7.84
2.04,14.55,-3.33,-7.62,54.74,72.23,32.12,1.1283,38415.65,455.41,54.91,70.44,7.96,120.84,0.67,258302,499069,87726759,813448034,90.51,84466.44,5.3,46.21,64232773,19.0,0.42,1.91,182.55,3.49
3.34,10.63,3.46,0.78,87.25,83.87,53.42,0.0059,17941.63,310.43,88.58,10.76,-13.05,165.95,4.19,989448,546801,919998907,952768043,2.52,887464.11,40.76,46.45,52901281,98.88,2.98,5.99,149.71,4.43
5.88,6.66,1.63,-4.81,3.62,65.8,145.21,1.4415,1864.95,139.3,42.94,73.05,7.61,16.85,5.59,770369,38888,787130633,654569200,68.44,662562.71,28.73,3.51,20828478,18.8,9.52,2.9,377.32,0.95
3.79,9.3,-0.24,5.79,23.22,150.26,186.93,1.0583,18148.44,407.43,33.56,96.92,2.87,142.24,9.89,661286,459178,704693844,17602267,40.36,921620.07,62.17,45.82,90668663,91.56,0.26,1.07,309.3,1.23
9.2,18.14,-3.18,-3.71,1.23,191.73,127.21,2.9232,32808.75,474.72,82.92,94.46,15.06,91.45,2.41,882455,409218,931675133,293348837,2.46,142256.99,68.59,28.13,54911575,38.13,1.38,3.52,280.46,1.37
9.24,15.65,-3.11,-5.58,99.28,114.97,0.5,2.0978,32759.39,484.37,62.53,12.63,-13.29,183.17,1.09,878477,552043,277755044,242258958,13.21,900747.52,32.41,50.63,6213633,83.05,6.36,7.56,300.15,7.02
1.32,6.04,-0.14,-1.52,20.14,89.0,166.94,0.0115,22181.08,382.7,92.73,54.42,11.49,172.61,4.95,498710,817474,924358720,423311038,69.65,732900.26,55.8,14.08,70701202,67.41,0.4,0.2,470.92,2.9
7.11,5.78,-1.75,-0.4,90.52,71.42,137.09,1.907,16875.59,108.46,7.12,91.59,-14.97,179.33,3.91,466284,75229,396342622,994524550,40.15,528731.36,48.96,32.43,56013442,64.2,5.57,8.89,305.15,1.31
2.68,11.19,-4.03,-2.53,87.77,44.29,190.59,1.2152,37612.08,222.47,8.94,29.59,12.65,76.25,3.3,354535,513437,350181207,90374037,65.52,69610.08,33.55,51.24,56818436,11.73,8.0,5.24,391.86,5.85
2.21,18.27,4.9,0.18,46.09,74.99,110.77,1.0257,44189.5,400.51,24.64,63.99,1.35,130.01,4.89,377874,961131,644730916,480628829,95.51,14180.17,69.8,86.55,89591183,9.66,4.67,1.03,294.48,5.2
1.84,17.16,-0.04,9.85,92.86,38.6,182.37,1.1539,6508.7,427.53,47.34,23.68,-5.46,161.66,7.05,44598,778351,508869596,313604891,13.06,632525.02,37.02,67.39,63309084,69.91,1.9,3.19,420.48,0.72
7.44,0.99,-4.84,1.52,94.08,158.55,87.66,1.9801,36861.77,366.01,31.54,17.11,0.29,84.14,7.88,494618,370729,723900654,693710448,83.67,292956.56,65.22,45.86,33181049,18.09,6.59,3.13,42.61,1.86
8.76,13.29,4.88,2.81,85.37,113.94,12.77,2.3131,33968.7,66.25,17.76,49.16,-14.11,190.57,3.67,596759,640542,849255643,171458860,99.35,533029.74,80.55,52.3,92992243,75.4,9.09,9.49,260.4,0.95
7.01,1.32,1.28,4.99,84.63,37.45,32.11,2.4134,25849.85,407.44,13.41,14.66,-6.48,2.39,8.06,577065,122448,775461866,490440925,4.18,19327.52,87.26,8.34,35337746,61.15,3.53,1.25,41.32,0.41
8.72,17.35,0.34,-4.05,28.63,122.86,19.24,2.7779,35253.05,301.59,63.06,2.24,-11.26,162.06,5.77,108516,767896,352518504,906122482,56.35,245768.54,39.17,95.52,2901691,16.43,5.91,5.62,286.6,5.99
9.41,19.78,2.49,-7.54,71.29,193.4,191.0,2.3749,32053.55,319.09,93.98,20.7,-8.45,173.38,6.98,2977,189268,240357241,773282488,28.86,306596.87,76.19,4.84,6145095,42.18,9.56,2.84,281.91,3.48
9.2,1.91,1.22,-2.29,15.34,127.61,150.67,1.1754,3372.12,317.57,39.99,7.27,-14.08,105.53,1.17,455484,259259,22546259,434672055,43.78,569815.6,8.83,63.72,30425581,12.97,1.27,5.91,417.27,5.51
6.68,17.97,3.95,-0.58,30.51,131.17,33.47,2.4411,14301.89,182.25,18.55,3.59,3.37,152.94,7.05,420277,293571,379507966,18491424,78.23,602740.8,70.27,12.27,36825329,51.12,9.31,9.5,278.48,1.28
4.26,3.25,3.4,-3.89,96.01,74.18,77.53,2.6398,46573.4,315.02,47.07,97.67,17.18,7.9,2.49,536485,298163,722834005,284443577,39.04,32024.19,35.65,15.78,14525940,38.25,9.27,8.35,397.3,2.08
